aquaCultureRegistryVersion,localityNo,municipality,municipalityNo,name
1299,45016,RØDØY,1836,Kjølsøyvær
525,18715,GILDESKÅL,1838,Kjølvika
1299,45037,GILDESKÅL,1838,Kjølvika I
313,25635,TYSFJORD,1850,Kjøpsneset Industriområde
1299,13084,ÅFJORD,5058,Kjørem
1299,12415,AURE,1576,Kjørsvikbugen
1299,26135,HEIM,5055,Kjørsvikgrunn
1299,27015,LOPPA,5614,Kjøsen
1299,32257,HARSTAD,5503,Kjøtta V
1299,32577,AUSTEVOLL,4625,Klammerholmen
1299,40377,BINDAL,1811,Klampvika N
465,10723,SKJERVØY,1941,Klauvnes
1299,15478,BRØNNØY,1813,Klavbekken
1299,24455,KINN,4602,Klavelandet
1299,11835,ASKVOLL,4645,Kleivaholmen
62,10363,NORD-AURDAL,0542,Kleivgard
1299,10828,HAMMERFEST,5603,Kleppenes N
1299,12215,GLOPPEN,4650,Kleppeneset
1158,32558,VÅGAN,1865,Kleppstad
772,10206,AVERØY,1554,Kleven
1299,36037,LEIRFJORD,1822,Klipen
1299,39297,SOLUND,4636,Klippenesvika
1299,29476,TROMSØ,5501,Klokkardalen
1299,10724,NORDREISA,5544,Klokkstein
1136,30697,SANDE I MØRE OG ROMSDAL,1514,Klovholmane
1299,39877,KRISTIANSUND,1505,Klovningen
1299,45137,RØDØY,1836,Klubban I
1299,10860,BINDAL,1811,Klubben
1299,11491,FITJAR,4615,Klubben
1299,12980,SOLUND,4636,Klubben
1299,19755,SØMNA,1812,Klubben
1299,33998,HASVIK,5616,Klubben
1299,45089,SENJA,5530,Klubben
108,19997,STORD,1221,Klubben I
119,19998,STORD,1221,Klubben II
461,11829,ASKVOLL,1428,Klubbenes
1299,10052,BØMLO,4613,Klubbeosen I
95,11582,BØMLO,1219,Klubbeosen II
273,10604,ALSTAHAUG,1820,Klubbholmen Ø
1042,20757,SVEIO,4612,Klubbøya
1299,13339,BØMLO,4613,Klungervikneset
1299,18755,NÆRØYSUND,5060,Klungset
1299,11534,BØMLO,4613,Klungsholmen
1299,13819,VINDAFJORD,1160,Klybbatårnet Ssø
1299,11763,ØYGARDEN,4626,Knappen
1299,13567,MASFJORDEN,4634,Knappen Solheim
117,12893,GJEMNES,1557,Knivskjeneset
1299,45117,FLATANGER,5049,Knubben
512,23395,TVEDESTRAND,0914,Knutsvik
1299,10113,STAVANGER,1103,Kobbavika
694,12133,KVINNHERAD,4617,Kobbebukta
235,23996,MÅSØY,2018,Kobbevikneset
1299,10882,BRØNNØY,1813,Kobbskjæret
1214,11509,BØMLO,4613,Kodlevågen
