is_slaughter_boat,is_wellboat,mmsi,ship_register_vessel_type,ship_register_vessel_type_name_en,ship_register_vessel_type_name_no,ship_type,vessel_name
false,false,257026370,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BALDER
false,false,257011940,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,BALDER
false,false,258021410,,,,60,BALDER
false,false,257954600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BALDER
false,false,257997600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,BALDER
false,false,258010500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,60,BALDER
false,false,257720900,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BALDER
false,false,257369500,7A1,TUG,SLEPEBÅT,52,BALDER
false,false,259016520,,,,99,BALDER
false,false,257033780,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BALLSTADVÆRING
false,false,257609700,7A,TUG/SALVAGE SHIP,SPESIALSKIP: SLEPE/BERGING,99,BANGSUND
false,false,257304000,1B,OIL TANKER,TANKSKIP: OLJE,75,BÅRDSUND
false,false,257130600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,53,BARENTS KRAFT
false,false,257080050,3B,BULK CARRIER,BULKSKIP: VANLIG BULK,70,BARENTS OCEAN
false,false,257865490,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,BARENTS WORKER
false,false,259475000,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BARHOLM
false,true,257437005,3H,WELL BOAT,BRØNNFARTØY,99,BARMEN
false,false,257044700,5C,CAR FERRY,PASSASJERSKIP/FERGER: BIL,60,BARMØY
false,false,259187000,5I4,CATAMARAN PASSENGER,KATAMARAN PASSASJER,40,BARONESSEN
false,false,257036210,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BARSTEIN
false,false,257084140,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BARSTEIN
false,false,257642600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,BARTEN
false,false,258001160,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,BAS
false,false,257127600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,BASEN
false,false,257062400,4B,GENERAL DRY CARGO SHIP,STYKKGODSSKIP: VANLIG STYKKGODS,70,BASEN
false,false,257323400,4B,GENERAL DRY CARGO SHIP,STYKKGODSSKIP: VANLIG STYKKGODS,70,BASEN
false,false,257531800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,99,BASUNEN
false,false,259576000,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BÅTSFJORD
false,false,257687700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,53,BATUR
false,false,259123000,7A1,TUG,SLEPEBÅT,52,BB COASTER
false,false,258242500,7A1,TUG,SLEPEBÅT,31,BB CONNECTOR
false,false,258825000,7D1,SUPPLY VESSEL,FORSYNINGSSKIP,52,BB OCEAN
false,false,258184000,7D1,SUPPLY VESSEL,FORSYNINGSSKIP,52,BB OCTOPUS
false,false,257812000,7D1,SUPPLY VESSEL,FORSYNINGSSKIP,70,BB ORCA
false,false,258383000,7A1,TUG,SLEPEBÅT,52,BB SERVER
false,false,257446000,7A1,TUG,SLEPEBÅT,52,BB SUPPORTER
false,false,258082000,7A1,TUG,SLEPEBÅT,52,BB WORKER
false,false,257702800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,BEKKEBÅTEN
false,false,257000570,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BEKREN
false,false,257017390,9C,PLEASURE CRAFT/YACHT,FRITIDSFARTØY,90,BELINA
false,false,257090430,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BEN HUR
false,false,257735800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,99,BEN REDIC
false,false,257556700,7F2,RESCUE VESSEL,REDNINGSFARTØY,99,BENDT R. RASMUSSEN
false,false,259995000,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BENJACO
